Time WindDir SailAngle DragForward LiftForward
19.26 2.999965 152.9933 0.04722327 0.008845006
19.38 2.999965 151.355 0.05186027 0.009506515
19.48 2.999965 149.795 0.05617486 0.01007717
19.58 2.999965 148.2022 0.06074442 0.01063653
19.68 2.999965 146.6059 0.06538286 0.01115353
19.8 2.999965 144.9731 0.07024037 0.01163519
19.9 2.999965 143.4082 0.07474469 0.01202358
20 2.999965 141.8164 0.0794 0.01236788
20.1 2.999965 140.2209 0.08404663 0.01264701
20.22 2.999965 138.5937 0.08878315 0.01285246
20.32 2.999965 137.0223 0.09316341 0.01297377
20.42 2.999965 135.4305 0.09758517 0.01302997
20.52 2.999965 133.8346 0.1019247 0.01300941
20.64 2.999965 132.2107 0.1062242 0.0128914
20.74 2.999965 130.6325 0.1101733 0.0127064
20.84 2.999965 129.0392 0.114075 0.01245178
20.96 2.999965 127.4146 0.1178677 0.01209286
21.06 2.999965 125.8339 0.1213166 0.01168555
21.16 2.999965 124.2386 0.1246704 0.01121489
21.26 2.999965 122.6385 0.1278382 0.01067674
21.38 2.999965 121.0072 0.1307825 0.01003718
21.48 2.999965 119.4263 0.1333937 0.009385095
21.58 2.999965 117.8277 0.1358714 0.008681994
21.68 2.999965 116.2241 0.1381271 0.007930558
21.8 2.999965 114.5843 0.1400861 0.007089694
21.9 2.999965 113.0088 0.1417426 0.006284292
22 2.999965 111.4077 0.1432495 0.005437641
22.1 2.999965 109.8032 0.1445169 0.004566797
22.22 2.999965 108.1562 0.1454331 0.00362664
22.32 2.999965 106.5879 0.1461156 0.002766514
22.42 2.999965 104.9873 0.1466357 0.001873212
22.54 2.999965 103.3388 0.1467811 0.0009268411
22.64 2.999965 101.775 0.1467664 8.45228E-05
22.74 2.999965 100.1758 0.146568 0.0007852191
22.84 3.999956 173.8197 0.01184573 0.00213738
22.96 3.999956 178.2296 0.001561157 0.0003015055
23.06 3.999956 176.9436 0.002546819 0.0004928316
23.16 3.999956 175.3686 0.004172682 0.0008061446
23.26 3.999956 173.7706 0.006057695 0.001166894
23.38 3.999956 172.1255 0.008290115 0.00159165
23.48 3.999956 170.567 0.01050476 0.002007436
23.58 3.999956 168.9718 0.01304465 0.002476813
23.68 3.999956 167.373 0.01580165 0.00297716
23.8 3.999956 165.7287 0.0189318 0.003535814
23.9 3.999956 164.1705 0.02193618 0.004057507
24 3.999956 162.5754 0.02527611 0.004620424
24.1 3.999956 160.9766 0.0288021 0.005195325
24.22 3.999956 159.3321 0.03269899 0.005809973
24.32 3.999956 157.7739 0.03636325 0.006361254
24.42 3.999956 156.1783 0.04033808 0.006930412
24.54 3.999956 154.5336 0.04466931 0.007518589
24.64 3.999956 152.975 0.04869838 0.00802916
24.74 3.999956 151.3791 0.05299497 0.008535258
24.84 3.999956 149.7795 0.05738122 0.009009114
24.96 3.999956 148.1352 0.06204107 0.009462991
25.06 3.999956 146.575 0.06633081 0.009832233
25.16 3.999956 144.9792 0.0708042 0.01016675
25.26 3.999956 143.3798 0.07529627 0.0104466
25.38 3.999956 141.7379 0.07995691 0.01066898
25.48 3.999956 140.1747 0.08421609 0.01081424
25.58 3.999956 138.5795 0.08855862 0.01090191
25.68 3.999956 136.9807 0.09284681 0.01092127
25.8 3.999956 135.3416 0.09718117 0.01085556
